220,Middleborough/Lakeville Line,0,4,Braintree,42.20855,-71.00085,Trunk
221,Middleborough/Lakeville Line,0,5,Holbrook/ Randolph,42.155314,-71.027518,Trunk
222,Middleborough/Lakeville Line,0,6,Montello,42.106047,-71.021078,Trunk
223,Middleborough/Lakeville Line,0,7,Brockton,42.08572,-71.01686,Trunk
224,Middleborough/Lakeville Line,0,8,Campello,42.060038,-71.01246,Trunk
225,Middleborough/Lakeville Line,0,9,Bridgewater,41.986355,-70.966625,Trunk
226,Middleborough/Lakeville Line,0,10,Middleboro/Lakeville,41.87821,-70.918444,Trunk
227,Middleborough/Lakeville Line,1,8,Middleboro/Lakeville,41.87821,-70.918444,Trunk
228,Middleborough/Lakeville Line,1,9,Bridgewater,41.986355,-70.966625,Trunk
229,Middleborough/Lakeville Line,1,10,Campello,42.060038,-71.01246,Trunk
230,Middleborough/Lakeville Line,1,11,Brockton,42.08572,-71.01686,Trunk
231,Middleborough/Lakeville Line,1,12,Montello,42.106047,-71.021078,Trunk
232,Middleborough/Lakeville Line,1,13,Holbrook/ Randolph,42.155314,-71.027518,Trunk
233,Middleborough/Lakeville Line,1,14,Braintree,42.20855,-71.00085,Trunk
234,Middleborough/Lakeville Line,1,15,Quincy Center,42.250862,-71.004843,Trunk
235,Middleborough/Lakeville Line,1,16,JFK/UMASS,42.321123,-71.052555,Trunk
236,Middleborough/Lakeville Line,1,17,South Station,42.352614,-71.055364,Trunk
237,Needham Line,0,1,South Station,42.352614,-71.055364,Trunk
238,Needham Line,0,2,Back Bay,42.347158,-71.075769,Trunk
239,Needham Line,0,3,Ruggles,42.335545,-71.090524,Trunk
240,Needham Line,0,4,Forest Hills,42.300023,-71.113377,Trunk
241,Needham Line,0,5,Roslindale Village,42.287206,-71.12961,Trunk
242,Needham Line,0,6,Bellevue,42.287138,-71.14606,Trunk
243,Needham Line,0,7,Highland,42.284869,-71.1547,Trunk
244,Needham Line,0,8,West Roxbury,42.2816,-71.159932,Trunk
245,Needham Line,0,9,Hersey,42.275842,-71.214853,Trunk
246,Needham Line,0,10,Needham Junction,42.273327,-71.238007,Trunk
247,Needham Line,0,11,Needham Center,42.280274,-71.238089,Trunk
248,Needham Line,0,12,Needham Heights,42.293139,-71.235087,Trunk
249,Needham Line,1,1,Needham Heights,42.293139,-71.235087,Trunk
250,Needham Line,1,2,Needham Center,42.280274,-71.238089,Trunk
251,Needham Line,1,3,Needham Junction,42.273327,-71.238007,Trunk
252,Needham Line,1,4,Hersey,42.275842,-71.214853,Trunk
253,Needham Line,1,5,West Roxbury,42.2816,-71.159932,Trunk
254,Needham Line,1,6,Highland,42.284869,-71.1547,Trunk
255,Needham Line,1,7,Bellevue,42.287138,-71.14606,Trunk
256,Needham Line,1,8,Roslindale Village,42.287206,-71.12961,Trunk
257,Needham Line,1,9,Forest Hills,42.300023,-71.113377,Trunk
258,Needham Line,1,10,Ruggles,42.335545,-71.090524,Trunk
259,Needham Line,1,11,Back Bay,42.347158,-71.075769,Trunk
260,Needham Line,1,12,South Station,42.352614,-71.055364,Trunk
261,Newburyport/Rockport Line,0,1,North Station,42.365551,-71.061251,Trunk
262,Newburyport/Rockport Line,0,2,Chelsea,42.395661,-71.034826,Trunk
263,Newburyport/Rockport Line,0,3,River Works,42.453804,-70.975698,Trunk
264,Newburyport/Rockport Line,0,4,Lynn,42.462293,-70.947794,Trunk
265,Newburyport/Rockport Line,0,5,Swampscott,42.473739,-70.922036,Trunk
266,Newburyport/Rockport Line,0,6,Salem,42.523927,-70.898903,Trunk
267,Newburyport/Rockport Line,0,7,Beverly,42.546907,-70.885168,Trunk
